Team,Continent,Subcon,World,Rating,Elo0
Afghanistan,Asia,Central,TRUE,54,1001
Albania,Europe,,TRUE,72,1092
Algeria,Africa,North,TRUE,76,1053
American Samoa,Oceania,,TRUE,27,888
Andorra,Europe,,TRUE,52,1110
Angola,Africa,South,TRUE,62,984
Anguilla,Americas,Caribbean,TRUE,31,911
Antarctica,Oceania,,FALSE,10,909
Antigua & Barbuda,Americas,Caribbean,TRUE,55,903
Argentina,Americas,South,TRUE,87,1100
Armenia,Europe,,TRUE,71,1104
Aruba,Americas,Caribbean,TRUE,45,909
Australia,Asia,ASEAN,TRUE,74,945
Austria,Europe,,TRUE,80,1108
Azerbaijan,Europe,,TRUE,66,1096
Bahamas,Americas,Caribbean,TRUE,45,890
Bahrain,Asia,West,TRUE,69,1052
Bangladesh,Asia,South,TRUE,43,893
Barbados,Americas,Caribbean,TRUE,53,892
Belarus,Europe,,TRUE,70,1104
Belgium,Europe,,TRUE,91,1095
Belize,Americas,Central,TRUE,54,996
Benin,Africa,West,TRUE,66,1050
Bermuda,Americas,Caribbean,TRUE,60,905
Bhutan,Asia,South,TRUE,31,910
Bolivia,Americas,South,TRUE,73,1095
Bonaire,Americas,Caribbean,FALSE,42,902
Bosnia & Herzegovina,Europe,,TRUE,75,1099
Botswana,Africa,South,TRUE,61,979
Brazil,Americas,South,TRUE,92,1094
British Virgin Islands,Americas,Caribbean,TRUE,33,909
Brunei,Asia,ASEAN,TRUE,34,945
Bulgaria,Europe,,TRUE,70,1111
Burkina Faso,Africa,West,TRUE,69,1056
Burundi,Africa,East,TRUE,58,958
Cambodia,Asia,ASEAN,TRUE,42,943
Cameroon,Africa,Central,TRUE,71,1007
Canada,Americas,North,TRUE,71,989
Cape Verde,Africa,West,TRUE,63,1039
Cayman Islands,Americas,Caribbean,TRUE,45,891
Central African Republic,Africa,Central,TRUE,61,989
Chad,Africa,Central,TRUE,56,1006
Chile,Americas,South,TRUE,81,1093
China,Asia,East,TRUE,66,1041
Colombia,Americas,South,TRUE,84,1111
Comoros,Africa,South,TRUE,58,979
Congo,Africa,Central,TRUE,63,1001
Congo DR,Africa,Central,TRUE,67,1007
