Team,Area,Stat,Budget,Stadium
An Giang,Sông Cửu Long,48,15,15000
Attapeu,Nam Lào,42,5,12000
Bà Rịa - Vũng Tàu,Đông Nam Bộ,60,60,10000
Bắcc Giang,Đông Bắc Bộ,42,5,6500
Bắc Kạn,Đông Bắc Bộ,42,5,15000
Bạc Liêu,Sông Cửu Long,42,5,2000
Bắc Ninh,Sông Hồng,46,10,4000
Bến Tre,Sông Cửu Long,48,15,10000
Bình Định,Nam Trung Bộ,75,65,20000
Bình Dương,Đông Nam Bộ,71,70,18500
Bình Phước,Đông Nam Bộ,54,30,11000
Bình Thuận,Nam Trung Bộ,52,25,6000
Bokeo,Bắc Lào,42,5,500
Borikhamxay,Trung Lào,42,5,500
Cà Mau,Sông Cửu Long,42,5,10000
Cần Thơ,Sông Cửu Long,56,55,30000
Cao Bằng,Đông Bắc Bộ,42,5,4000
Champasack,Nam Lào,48,20,12000
Đà Nẵng,Nam Trung Bộ,68,90,20000
Đắk Lắk,Tây Nguyên,53,30,25000
Đắk Nông,Tây Nguyên,42,5,500
Điện Biên,Tây Bắc Bộ,42,5,500
Đồng Nai,Đông Nam Bộ,52,30,25000
Đồng Tháp,Sông Cửu Long,50,30,23000
Gia Lai,Tây Nguyên,72,60,12000
Hà Giang,Đông Bắc Bộ,42,5,500
Hà Nam,Sông Hồng,47,10,25000
Hà Nội,Sông Hồng,80,100,40000
Hà Tĩnh,Bắc Trung Bộ,67,50,15000
Hải Dương,Sông Hồng,46,25,1000
Hải Phòng,Sông Hồng,77,95,30000
Hậu Giang,Sông Cửu Long,42,5,500
Hòa Bình,Tây Bắc Bộ,53,25,3500
Houphanh,Bắc Lào,42,5,500
Hưng Yên,Sông Hồng,59,40,3500
Khammuane,Nam Lào,42,5,500
Khánh Hòa,Nam Trung Bộ,62,50,25000
Kiên Giang,Sông Cửu Long,48,15,10000
Kon Tum,Tây Nguyên,49,20,15000
Lai Châu,Tây Bắc Bộ,42,5,500
Lâm Đồng,Tây Nguyên,51,30,19500
Lạng Sơn,Đông Bắc Bộ,42,5,1500
Lào Cai,Tây Bắc Bộ,42,5,1000
Long An,Sông Cửu Long,58,45,20000
Luang Namtha,Bắc Lào,42,5,500
Luang Prabang,Bắc Lào,48,20,20000
Nam Định,Sông Hồng,66,45,30000
Nghệ An,Bắc Trung Bộ,73,55,18000
Ninh Bình,Sông Hồng,63,35,22000
Ninh Thuận,Nam Trung Bộ,42,5,1000
Oudomxay,Bắc Lào,42,5,500
Phongsaly,Bắc Lào,42,5,500
Phú Quốc,Sông Cửu Long,43,10,500
Phú Thọ,Đông Bắc Bộ,55,35,16000
Phú Yên,Nam Trung Bộ,48,15,5000
Quảng Bình,Bắc Trung Bộ,42,5,2000
Quảng Nam,Nam Trung Bộ,61,40,15000
Quảng Ngãi,Nam Trung Bộ,42,5,500
Quảng Ninh,Đông Bắc Bộ,53,45,16000
Quảng Trị,Bắc Trung Bộ,42,5,500
Sài Gòn,Đông Nam Bộ,64,85,15000
Saravane,Nam Lào,42,5,500
Savannakhet,Nam Lào,42,5,15000
Sekong,Nam Lào,42,5,500
Sóc Trăng,Sông Cửu Long,45,20,1000
Sơn La,Tây Bắc Bộ,42,5,10000
Tây Ninh,Đông Nam Bộ,48,15,15500
Thái Bình,Sông Hồng,42,5,1000
Thái Nguyên,Đông Bắc Bộ,42,5,30000
Thăng Long,Sông Hồng,74,95,25000
Thanh Hóa,Bắc Trung Bộ,70,60,14000
Thừa Thiên Huế,Bắc Trung Bộ,57,50,25000
Tiền Giang,Sông Cửu Long,50,30,15000
Tp Hồ Chí Minh,Đông Nam Bộ,69,100,25000
Tp Vientiane,Trung Lào,53,30,25000
Trà Vinh,Sông Cửu Long,42,5,500
Tuyên Quang,Đông Bắc Bộ,45,15,1500
Vientiane,Trung Lào,50,25,5000
Vĩnh Long,Sông Cửu Long,49,20,10000
Vĩnh Phúc,Sông Hồng,51,25,1000
Xayabury,Bắc Lào,42,5,500
Xaysomboun,Trung Lào,42,5,500
Xiengkhuang,Trung Lào,42,5,500
Yên Bái,Tây Bắc Bộ,42,5,4500
